name,normalized_name,corporate_number,cn_count,name_in_db,cn_in_db,name_cn_match,pref_municipality,pref_abbr,db_name_by_cn,valid
"(株)NTTドコモ,株式会社筑水キャニコム,阿蘇森林組合","株式会社NTTドコモ,株式会社筑水キャニコム,阿蘇森林組合",1010001067912,1,False,True,False,False,False,株式会社ＮＴＴドコモ,False
(株)SELC,株式会社SELC,7021001047229,1,True,True,True,False,False,株式会社ＳＥＬＣ,True
(株)あっとん,株式会社あっとん,1470001012038,1,True,True,True,False,False,株式会社あっとん,True
(株)おとうふ工房いしかわ,株式会社おとうふ工房いしかわ,9180301013807,1,True,True,True,False,False,株式会社おとうふ工房いしかわ,True
(株)そごう・西武,株式会社そごう・西武,6010001127026,1,True,True,True,False,False,株式会社そごう・西武,True
(株)アネスタ,株式会社アネスタ,,0,True,False,False,False,False,,False
(株)アライ印刷他,株式会社アライ印刷他,6010901000777,1,False,True,False,False,False,株式会社アライ印刷,False
(株)アルファコーポレーション,株式会社アルファコーポレーション,2130001019751,1,True,True,True,False,False,株式会社アルファコーポレーション,True
(株)アルファネット,株式会社アルファネット,2010001143464,1,True,True,True,False,False,株式会社アルファネット,True
(株)アークアカデミー,株式会社アークアカデミー,1011001000128,1,True,True,True,False,False,株式会社アークアカデミー,True
(株)アール・アイ・エー・(株)プレック研究所設計共同体,株式会社アール・アイ・エー・(株)プレック研究所設計共同体,,0,False,False,False,False,False,,False
(株)イベントプロデュースガッツ,株式会社イベントプロデュースガッツ,4390001004668,1,True,True,True,False,False,株式会社イベントプロデュースガッツ,True
(株)エディット,株式会社エディット,6290001001310,1,True,True,True,False,False,株式会社エディット,True
(株)エヌ・ティ・ティ・データ,株式会社エヌ・ティ・ティ・データ,6010601062093,1,False,True,False,False,False,株式会社ＮＴＴデータ,False
(株)エヌ・トラスト,株式会社エヌ・トラスト,2080001019014,1,True,True,True,False,False,株式会社エヌ・トラスト,True
(株)オキジム北部支店,株式会社オキジム北部支店,7360001008495,1,False,True,False,False,False,株式会社オキジム,False
(株)オルカビジョンほか,株式会社オルカビジョンほか,,0,False,False,False,False,False,,False
